Age,Workclass,Education-Num,Sensitive,Label
39,7,13,1,0
50,6,13,1,0
38,4,9,1,0
53,4,7,1,0
28,4,13,0,0
37,4,14,0,0
49,4,5,0,0
52,6,9,1,1
31,4,14,0,1
42,4,13,1,1
37,4,10,1,1
30,7,13,1,1
23,4,13,0,0
32,4,12,1,0
40,4,11,1,1
34,4,4,1,0
25,6,9,1,0
32,4,9,1,0
38,4,7,1,0
43,6,14,0,1
40,4,16,1,1
54,4,9,0,0
35,1,5,1,0
43,4,7,1,0
59,4,9,0,0
56,2,13,1,1
19,4,9,1,0
54,0,10,1,1
39,4,9,1,0
49,4,9,1,0
23,2,12,1,0
20,4,10,1,0
45,4,13,1,0
30,1,10,1,0
22,7,10,1,0
48,4,7,1,0
21,4,10,1,0
19,4,9,0,0
31,4,10,1,1
48,6,12,1,0
31,4,5,1,0
53,6,13,1,0
24,4,13,1,0
49,4,9,0,0
25,4,9,1,0
57,1,13,1,1
53,4,9,1,0
44,4,14,0,0
41,7,11,1,0
29,4,11,1,0
25,4,10,0,0
18,4,9,0,0
47,4,15,0,1
50,1,13,1,1
47,5,9,1,0
43,4,10,1,1
46,4,3,1,0
35,4,11,1,0
41,4,9,1,0
30,4,9,1,0
30,4,13,1,0
32,0,4,1,0
48,4,9,1,0
42,4,16,1,1
29,4,10,1,0
36,4,9,1,0
28,4,10,0,0
53,4,9,0,1
49,5,10,1,1
25,0,10,1,0
19,4,10,1,0
31,4,13,0,0
29,6,13,1,1
23,4,10,1,0
79,4,10,1,0
27,4,9,1,0
40,4,12,1,0
67,0,6,1,0
18,4,7,0,0
31,2,4,1,0
18,4,9,1,0
52,4,13,1,0
46,4,9,0,0
59,4,9,1,0
44,4,9,0,1
53,4,9,0,0
49,2,9,1,1
33,4,14,1,0
30,4,5,1,0
43,1,16,0,1
57,4,11,1,0
37,4,10,0,0
28,4,10,0,0
30,4,9,0,0
34,2,13,1,1
29,2,10,1,0
48,6,16,1,1
37,4,10,1,1
48,4,12,0,0
32,1,9,1,0
76,4,14,1,1
44,4,13,1,1
47,6,14,0,0
20,4,10,0,0
29,4,9,1,0
32,5,9,1,1
17,0,6,0,0
30,4,7,1,0
31,2,9,0,0
42,4,9,1,0
24,4,13,1,0
38,4,15,1,1
56,6,9,1,1
28,4,10,0,0
36,4,9,0,0
53,4,5,1,0
56,5,10,1,0
49,2,11,1,1
55,4,10,1,0
22,4,9,1,0
21,4,10,0,0
40,4,13,1,0
30,4,13,1,0
29,7,13,1,1
19,4,10,1,0
47,4,13,0,1
20,4,10,0,0
31,4,12,1,1
35,0,9,1,0
39,4,10,1,0
28,4,12,0,0
24,4,9,0,0
38,6,9,1,0
37,4,13,1,0
46,4,12,0,0
38,1,14,1,1
43,6,9,1,0
27,4,11,0,0
20,4,10,1,0
49,4,10,1,1
61,5,9,1,0
27,4,10,0,0
19,4,10,1,0
45,4,11,0,1
70,4,10,1,0
31,4,9,0,0
22,4,10,1,0
36,4,9,0,0
64,4,7,1,0
43,0,10,0,0
47,2,10,0,0
34,4,9,0,0
33,4,13,0,0
21,4,9,1,0
52,0,9,1,1
48,4,9,1,0
23,4,13,1,0
71,6,10,1,0
29,4,9,1,0
42,4,13,1,0
68,0,2,0,0
25,4,9,0,0
44,5,14,0,0
28,4,9,0,0
45,6,14,1,1
36,4,10,0,0
39,1,12,1,0
46,7,14,1,0
18,4,7,1,0
66,2,11,0,0
27,4,9,1,0
28,7,9,1,0
51,4,10,1,1
27,4,13,1,0
28,7,13,1,1
27,4,9,0,0
21,4,9,1,0
34,4,9,1,0
18,4,9,1,0
33,4,13,1,0
44,2,10,1,1
43,4,10,0,0
30,4,10,1,0
40,4,4,1,1
37,1,10,1,1
34,4,9,1,0
41,6,13,0,0
53,0,13,0,0
31,4,14,0,0
58,7,16,1,1
38,4,10,0,0
24,4,10,1,0
41,2,13,1,0
47,4,10,1,0
41,1,13,1,0
23,4,3,1,0
36,4,10,1,0
40,1,14,0,1
35,4,14,1,1
24,6,9,1,0
26,4,14,0,0
19,0,9,1,0
51,4,13,1,1
42,2,10,0,0
37,7,9,0,0
18,4,7,0,0
36,4,13,1,1
35,4,9,1,0
58,5,9,0,1
17,4,7,0,0
44,2,9,1,0
37,4,9,1,1
35,4,10,0,0
60,4,9,1,0
54,5,4,1,1
37,4,13,1,1
50,4,12,0,0
38,4,13,1,0
45,4,13,1,0
25,4,6,1,0
31,4,10,1,0
64,0,2,1,0
90,4,9,1,0
54,4,9,1,0
53,2,1,0,0
18,4,9,0,0
60,0,6,0,0
66,6,9,1,0
75,4,11,0,0
65,4,9,0,0
35,4,7,1,0
41,4,9,0,0
25,4,10,1,0
33,4,10,0,0
28,4,15,1,1
59,7,9,1,0
40,7,10,0,0
41,4,13,1,1
38,2,14,1,1
23,4,9,1,0
40,4,13,1,1
41,6,9,0,0
24,7,12,1,0
20,0,10,1,0
38,4,10,1,0
56,4,9,1,0
58,4,9,1,1
32,4,9,0,0
40,4,12,1,1
45,4,9,1,0
41,4,15,0,1
42,4,13,0,0
59,2,6,0,0
19,2,10,1,0
58,4,10,1,0
42,6,9,1,1
20,4,9,0,0
32,4,9,0,0
45,4,11,0,0
50,4,4,1,0
36,4,13,0,0
45,4,9,1,0
17,4,7,1,0
59,4,10,1,0
26,4,7,1,0
37,5,10,1,1
19,0,10,1,0
64,4,9,1,1
33,4,13,0,0
33,4,9,0,1
61,4,9,1,1
17,4,5,1,0
50,6,14,1,0
27,2,14,1,0
30,4,9,0,0
43,4,9,1,0
44,4,10,1,1
35,4,10,0,0
25,4,10,0,0
24,4,10,0,1
22,4,13,0,0
42,2,10,1,1
34,4,12,0,0
60,4,13,0,0
