LSAT,GPA,resident,Sensitive,Label
164,3.92,1,0,1
157,3.78,0,0,1
162,3.69,1,0,1
160,3.42,1,0,1
162,3.66,0,0,1
158,3.71,0,0,0
167,3.77,0,0,0
156,3.5,0,0,1
161,3.98,0,0,1
159,3.58,1,0,0
172,3.5,0,0,0
157,3.78,1,0,0
168,3.68,0,0,0
162,3.64,0,0,0
159,3.92,1,0,1
170,3.53,0,0,0
155,3.79,0,0,0
171,3.88,0,0,1
175,3.63,0,0,1
162,3.81,0,0,1
156,3.54,1,0,1
155,3.87,1,0,1
161,3.45,0,0,0
163,3.79,1,0,1
155,3.65,1,0,1
159,4.03,1,0,1
160,3.43,0,0,0
164,3.58,0,0,1
158,3.6,1,0,0
155,3.64,0,0,0
157,3.38,0,0,0
162,3.4,0,0,0
158,3.79,0,0,0
162,3.5,1,0,0
161,3.57,0,0,1
158,3.53,0,0,1
165,4,0,0,1
157,3.95,0,0,1
164,3.68,0,0,0
168,3.87,0,0,1
164,3.6,1,0,0
166,3.5,0,0,1
168,3.66,0,0,1
160,3.61,0,0,0
156,3.57,0,0,1
156,3.47,0,0,0
156,3.62,0,0,0
160,3.72,1,0,0
158,3.54,0,0,0
156,3.94,0,0,0
162,3.43,0,0,0
157,3.38,0,0,0
170,3.86,0,0,1
155,3.44,0,0,0
163,3.43,0,0,0
161,3.6,1,0,1
167,3.81,0,0,0
156,3.51,0,0,0
166,3.65,0,0,0
155,3.77,0,0,1
157,3.66,0,0,1
174,3.55,0,0,1
171,3.98,0,0,0
160,3.6,0,0,0
160,3.72,0,0,0
159,3.87,0,0,0
167,3.82,0,0,0
161,3.44,0,0,0
162,3.48,0,0,1
179,3.7,0,0,1
167,3.58,0,0,0
167,3.47,0,0,0
161,3.59,0,0,1
166,3.5,0,0,1
158,3.7,0,0,0
156,3.72,0,0,1
158,3.45,0,0,0
158,3.42,0,0,1
169,3.47,0,0,1
176,3.67,0,0,1
155,3.61,1,0,0
161,3.39,0,0,0
167,3.51,0,0,0
155,3.67,0,0,1
156,3.42,0,0,0
166,3.49,0,0,0
162,3.61,0,0,0
161,3.91,0,0,1
160,3.53,1,0,1
172,3.61,0,0,1
161,3.95,0,0,1
170,3.86,0,0,1
163,3.85,0,0,1
157,3.38,1,0,1
168,3.72,0,0,0
161,3.51,1,0,1
156,3.69,0,0,0
165,3.43,0,0,0
166,4.04,0,0,0
156,3.45,0,0,1
162,3.48,1,0,0
161,3.72,0,0,0
159,3.54,0,0,0
156,3.62,0,0,0
155,3.53,0,0,1
159,3.44,0,0,0
174,3.79,0,0,1
164,3.98,0,0,0
158,3.76,0,0,1
158,3.72,0,0,1
168,3.58,1,0,1
156,3.54,0,0,1
166,3.6,0,0,0
155,3.65,0,0,0
165,3.87,1,0,1
159,3.93,0,0,0
163,3.5,1,0,1
165,3.48,0,0,1
157,3.64,1,0,1
160,3.46,1,0,0
155,3.66,0,0,0
160,3.79,0,0,1
174,3.45,1,0,1
156,3.59,0,0,0
163,3.45,0,0,0
160,3.61,0,0,0
169,3.73,0,0,1
165,3.44,1,0,1
166,3.53,0,0,1
164,3.93,0,0,1
163,3.68,0,0,1
159,3.71,0,0,1
155,3.509998321533203,0,0,0
172,3.66,0,0,1
158,3.5,0,0,0
159,3.64,0,0,0
155,3.51,0,0,1
159,3.69,0,0,0
158,3.59,0,0,1
172,3.87,0,0,1
162,3.66,1,0,0
160,3.9,1,0,1
157,3.5,0,0,0
169,3.75,0,0,1
161,3.91,0,0,0
165,3.72,0,0,1
161,3.4,0,0,1
164,3.49,0,0,0
161,3.72,0,0,0
155,3.41,0,0,0
169,3.48,0,0,0
159,3.84,0,0,1
155,3.8,0,0,0
166,3.44,0,0,0
160,3.9,1,0,1
157,3.91,0,0,0
166,3.7,0,0,0
168,3.45,1,0,1
160,3.76,0,0,0
167,3.75,0,0,0
161,3.65,0,0,0
156,3.84,1,0,0
155,3.56,0,0,0
161,3.53,0,0,0
157,3.6,0,0,0
167,3.43,0,0,1
160,3.72,0,0,1
164,3.94,1,0,1
161,3.38,0,0,0
159,3.45,0,0,0
167,3.59,0,0,1
159,3.72,0,0,0
165,3.74,0,0,0
157,3.48,0,0,0
168,3.56,0,0,0
159,3.55,0,0,1
166,3.58,0,0,0
161,3.4199981689453125,0,0,1
170,3.5,0,0,1
164,3.38,0,0,0
173,3.52,0,0,1
159,3.57,0,0,0
164,3.45,0,0,0
159,3.53,1,0,0
159,3.8,0,0,0
158,3.57,0,0,0
166,3.73,0,0,0
163,3.73,1,0,1
156,3.43,1,0,0
170,3.53,0,0,1
155,3.7,0,0,0
166,3.45,0,0,0
163,3.53,0,0,0
